"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"06/21/2017","164","Ozone","Santa Clarita","06-037-6012","AQS"
"06/22/2017","115","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"06/23/2017","156","Ozone","Santa Clarita","06-037-6012","AQS"
"06/24/2017","151","Ozone","Santa Clarita","06-037-6012","AQS"
"06/25/2017","195","Ozone","Glendora","06-037-0016","AQS"
"06/26/2017","129","Ozone","Glendora","06-037-0016","AQS"
"06/27/2017","115","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"06/28/2017","115","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"06/29/2017","150","Ozone","Santa Clarita","06-037-6012","AQS"
"06/30/2017","151","Ozone","Santa Clarita","06-037-6012","AQS"
"07/01/2017","143","Ozone","Santa Clarita","06-037-6012","AQS"
"07/02/2017","115","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"07/03/2017","159","Ozone","Glendora","06-037-0016","AQS"
"07/04/2017","169","Ozone","Glendora","06-037-0016","AQS"
"07/05/2017","182","Ozone","Santa Clarita","06-037-6012","AQS"
"07/06/2017","204","Ozone","Santa Clarita","06-037-6012","AQS"
"07/07/2017","224","Ozone","Santa Clarita","06-037-6012","AQS"
"07/08/2017","209","Ozone","Reseda","06-037-1201","AQS"
"07/09/2017","101","Ozone","Pasadena","06-037-2005","AQS"
"07/10/2017","112","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"07/11/2017","71","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"07/12/2017","84","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"07/13/2017","97","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"07/14/2017","156","Ozone","Santa Clarita","06-037-6012","AQS"
"07/15/2017","203","Ozone","Santa Clarita","06-037-6012","AQS"
"07/16/2017","159","Ozone","Santa Clarita","06-037-6012","AQS"
"07/17/2017","101","Ozone","Santa Clarita","06-037-6012","AQS"
"07/18/2017","154","Ozone","Santa Clarita","06-037-6012","AQS"
"07/19/2017","164","Ozone","Santa Clarita","06-037-6012","AQS"
"07/20/2017","136","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"07/21/2017","154","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"07/22/2017","177","Ozone","Santa Clarita","06-037-6012","AQS"
"07/23/2017","164","Ozone","Santa Clarita","06-037-6012","AQS"
"07/24/2017","68","PM2.5","Reseda","06-037-1201","AQS"
"07/25/2017","84","Ozone","Santa Clarita","06-037-6012","AQS"
"07/26/2017","100","Ozone","Santa Clarita","06-037-6012","AQS"
"07/27/2017","105","Ozone","Santa Clarita","06-037-6012","AQS"
"07/28/2017","126","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"07/29/2017","133","Ozone","Azusa","06-037-0002","AQS"
"07/30/2017","122","Ozone","Santa Clarita","06-037-6012","AQS"
"07/31/2017","164","Ozone","Santa Clarita","06-037-6012","AQS"
"08/01/2017","140","Ozone","Reseda","06-037-1201","AQS"
"08/02/2017","122","Ozone","Reseda","06-037-1201","AQS"
"08/03/2017","161","Ozone","Pomona","06-037-1701","AQS"
"08/04/2017","126","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"08/05/2017","115","Ozone","Santa Clarita","06-037-6012","AQS"
"08/06/2017","119","Ozone","Santa Clarita","06-037-6012","AQS"
"08/07/2017","108","Ozone","Glendora","06-037-0016","AQS"
"08/08/2017","122","Ozone","Glendora","06-037-0016","AQS"
"08/09/2017","119","Ozone","Glendora","06-037-0016","AQS"
"08/10/2017","143","Ozone","Pomona","06-037-1701","AQS"
"08/11/2017","140","Ozone","Reseda","06-037-1201","AQS"
"08/12/2017","156","Ozone","Santa Clarita","06-037-6012","AQS"
"08/13/2017","150","Ozone","Azusa","06-037-0002","AQS"
"08/14/2017","97","Ozone","Glendora","06-037-0016","AQS"
"08/15/2017","58","PM2.5","Reseda","06-037-1201","AQS"
"08/16/2017","90","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"08/17/2017","93","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"08/18/2017","112","Ozone","Santa Clarita","06-037-6012","AQS"
"08/19/2017","105","Ozone","Pomona","06-037-1701","AQS"
"08/20/2017","84","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"08/21/2017","85","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"08/22/2017","97","Ozone","Reseda","06-037-1201","AQS"
"08/23/2017","126","Ozone","Santa Clarita","06-037-6012","AQS"
"08/24/2017","115","Ozone","Santa Clarita","06-037-6012","AQS"
"08/25/2017","154","Ozone","Santa Clarita","06-037-6012","AQS"
"08/26/2017","190","Ozone","Glendora","06-037-0016","AQS"
"08/27/2017","164","Ozone","Glendora","06-037-0016","AQS"
"08/28/2017","201","Ozone","Pomona","06-037-1701","AQS"
"08/29/2017","208","Ozone","Glendora","06-037-0016","AQS"
"08/30/2017","209","Ozone","Pomona","06-037-1701","AQS"
"08/31/2017","174","Ozone","Pasadena","06-037-2005","AQS"
"09/01/2017","206","Ozone","Glendora","06-037-0016","AQS"
"09/02/2017","156","Ozone","Reseda","06-037-1201","AQS"
"09/03/2017","77","Ozone","Santa Clarita","06-037-6012","AQS"
"09/04/2017","64","PM2.5","Reseda","06-037-1201","AQS"
"09/05/2017","69","PM2.5","Reseda","06-037-1201","AQS"
"09/06/2017","65","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"09/07/2017","112","Ozone","Santa Clarita","06-037-6012","AQS"
"09/08/2017","80","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"09/09/2017","101","Ozone","Pomona","06-037-1701","AQS"
"09/10/2017","177","Ozone","Pomona","06-037-1701","AQS"
"09/11/2017","119","Ozone","Pomona","06-037-1701","AQS"
"09/12/2017","84","Ozone","Pomona","06-037-1701","AQS"
"09/13/2017","63","PM2.5","Reseda","06-037-1201","AQS"
"09/14/2017","58","PM2.5","Reseda","06-037-1201","AQS"
"09/15/2017","57","PM2.5","Reseda","06-037-1201","AQS"
"09/16/2017","80","Ozone","Santa Clarita","06-037-6012","AQS"
